id,anio,mun,estratos,sexo,edad,total,total_low,total_upp,dim,nomgeo
0,2015.0,2.0,Pobreza muy alta,Hombre,12-29,1277.0,831153685188000.0,172284631481000.0,Bienes Durables,Azcapotzalco
1,2015.0,2.0,Pobreza alta,Hombre,12-29,1325.0,721435809069000.0,192856419093000.0,Bienes Durables,Azcapotzalco
2,2015.0,2.0,Pobreza alta,Mujer,60 y mas,644.0,280039572340000.0,100796042766000.0,Bienes Durables,Azcapotzalco
3,2015.0,2.0,Pobreza moderada,Hombre,12-29,7069.0,496687165975000.0,917112834025000.0,Bienes Durables,Azcapotzalco
4,2015.0,2.0,Pobreza moderada,Hombre,60 y mas,5715.0,394055501878000.0,748944498122000.0,Bienes Durables,Azcapotzalco
5,2015.0,2.0,Pobreza moderada,Mujer,12-29,7098.0,542992559723000.0,876607440277000.0,Bienes Durables,Azcapotzalco
6,2015.0,2.0,Pobreza moderada,Mujer,30-44,6637.0,502631835282000.0,824768164718000.0,Bienes Durables,Azcapotzalco
7,2015.0,2.0,Satisfaccion mínima,Hombre,0-11,9272.0,747079051612000.0,110732094839000.0,Bienes Durables,Azcapotzalco
8,2015.0,2.0,Satisfaccion mínima,Hombre,12-29,18777.0,153156379314000.0,222383620686000.0,Bienes Durables,Azcapotzalco
9,2015.0,2.0,Satisfaccion mínima,Mujer,0-11,8267.0,63245458414300.0,102094541586000.0,Bienes Durables,Azcapotzalco
10,2015.0,2.0,Satisfaccion mínima,Mujer,12-29,18395.0,154296636003000.0,213603363997000.0,Bienes Durables,Azcapotzalco
11,2015.0,2.0,Estrato alto,Hombre,No especificado,50.0,-266497889683000.0,126649788968000.0,Bienes Durables,Azcapotzalco
12,2015.0,2.0,Estrato alto,Mujer,12-29,24690.0,210300685904000.0,283499314096000.0,Bienes Durables,Azcapotzalco
13,2015.0,2.0,Estrato alto,Mujer,45-59,21886.0,185385453404000.0,252334546596000.0,Bienes Durables,Azcapotzalco
